,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm,tiempo_hospital
39,5107,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",12.0,Quintero,33710.0,35.59774547611985,16.47878967665381,6.6573606786212824,329245.6903611439,993.2392955512896,5.0,0.0,8.62
42,5302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,Calle Larga,15371.0,19.51727278641598,26.5044564439529,1.772362226530047,207706.33841041263,1985.6244384546271,5.0,0.0,17.88
43,5303,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,Rinconada,10513.0,28.536098164177684,19.147721868163224,4.962370649106303,282598.84230950143,1224.4488307517313,5.0,0.0,19.79
44,5304,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,San Esteban,19541.0,46.05700834143595,37.208945294508986,6.148609116536354,232340.54885378436,1467.6167180687014,5.0,0.0,14.99
45,5401,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",16.0,La Ligua,36749.0,43.53859968978748,25.17891643310022,0.4496178248488784,242205.17462656743,1546.493301812451,5.0,0.0,10.19
46,5402,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Cabildo,20339.0,24.58331284723929,35.847386793844336,0.0,389030.4100219288,968.3547236250752,5.0,0.0,15.61
47,5403,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",1.0,Papudo,5942.0,16.82935038707506,7.6236957253450015,3.409478349812479,335451.91186498466,561.5486921826512,5.0,0.0,25.59
48,5404,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Petorca,10367.0,48.229960451432426,55.08826082762612,1.1208883301906558,221162.61659333753,1055.6742490888523,5.0,0.0,19.32
49,5405,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Zapallar,7607.0,52.583147101354015,29.564874457736295,0.0,292693.4215342191,2862.1204579392734,5.0,0.0,33.09
52,5503,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Hijuelas,18572.0,26.922248546198578,32.28516045660134,1.676254711366792,249276.25892680025,999.4530356521308,5.0,0.0,10.01
53,5504,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,La Cruz,23054.0,30.363494404441745,11.355946907261213,5.5965665236051505,255960.74123032903,1480.761534503459,5.0,0.0,12.51
54,5506,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Nogales,23091.0,30.31484128015244,14.16136156944264,3.56383553745811,213338.99762170733,1567.0289855072465,5.0,0.0,12.22
56,5602,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,Algarrobo,14221.0,21.095562899936713,21.411996343435764,5.7542670682730925,476213.0576054217,5015.436960493982,5.0,0.0,34.18
57,5603,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",12.0,Cartagena,23795.0,50.43076276528682,8.531204034461021,9.912670950733235,308770.3718569781,3019.956242126898,5.0,0.0,11.96
58,5604,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,El Quisco,16584.0,42.20935841775205,7.5192957067052575,8.19672131147541,288598.6772803699,4853.608893064036,5.0,0.0,32.85
59,5605,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,El Tabo,13406.0,52.215425928688646,6.27331045800388,0.6932527970347999,335818.4785503466,5410.254640811539,5.0,0.0,22.69
