,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm
0,1101,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",75.0,Iquique,202891.0,36.965661364969364,1.656554504635494,14.216835493431237,374238.55163776706,3802.469404169293,1,0
1,1107,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",36.0,Alto Hospicio,113098.0,31.830801605687107,2.0203717130276395,20.904773530963762,236733.33852612015,2324.900349792565,1,0
2,1401,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Pozo Almonte,15286.0,39.25160277377993,34.89467486589036,46.480097340517986,296573.0940378933,1354.4018058690745,1,0
3,1402,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",1.0,Camiña,1286.0,77.76049766718506,100.0,85.45673076923077,278387.98798076925,849.5145631067961,1,0
4,1404,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Huara,2748.0,145.5604075691412,59.75254730713247,45.61353211009174,286434.7758027523,1399.155227032735,1,0
5,1405,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Pica,5320.0,75.18796992481204,32.31203007518797,55.034541786391145,404464.29436938313,657.7948692000202,1,0
6,2101,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",113.0,Antofagasta,381635.0,29.609443578288158,1.489905275983597,5.14874023755078,437843.2151429589,2044.0401988848903,2,0
7,2102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Mejillones,12933.0,46.39294827186268,4.538776772597232,4.9842914154708335,318447.864566528,1220.1989862962268,2,0
8,2104,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Taltal,12831.0,38.96812407450705,10.310965630114566,1.1150301513255205,322686.5883490727,2775.8362456315526,2,0
9,2201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",88.0,Calama,171875.0,51.199999999999996,3.094109090909091,15.151223800236243,455605.8471623218,4027.1823100950446,2,0
10,2203,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,San Pedro de Atacama,9177.0,54.48403617740002,44.49166394246486,54.559798043546856,394896.40138845064,1724.5567160553803,2,0
11,2301,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Tocopilla,26886.0,33.47467083240348,3.964888789704679,2.8651924303635976,306291.31543695513,3695.9088342487553,2,0
12,2302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",1.0,María Elena,6651.0,15.035333032626674,8.194256502781537,14.075723830734965,288820.7545657016,1394.422310756972,2,0
13,3101,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",54.0,Copiapó,165066.0,32.71418705245175,1.9143857608471764,14.262445281482236,372347.84654495685,2493.217145288472,3,0
14,3102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Caldera,18582.0,37.670864277257564,9.740609191690885,12.440575828590559,284673.79665215936,4417.1075275670855,3,0
15,3103,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Tierra Amarilla,13941.0,43.03851947493006,23.64966645147407,33.674278464954014,307473.4175388519,2409.638554216868,3,0
16,3201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Chañaral,13058.0,30.632562413845914,10.238933986827998,5.408045466654826,268659.45049285144,2959.724207517027,3,0
17,3202,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,Diego de Almagro,14559.0,13.737207225771002,6.593859468370081,10.877792699304115,346625.59516542545,1837.5680580762248,3,0
18,3301,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",21.0,Vallenar,55620.0,37.75620280474649,11.094929881337649,20.56232905289509,345404.94344258495,1681.5212266798374,3,0
19,3302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",2.0,Alto del Carmen,5575.0,35.874439461883405,100.0,45.31355360755226,280827.189031243,401.01308569016464,3,0
20,3304,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Huasco,10776.0,46.399406087602074,12.759836674090572,16.090754987612467,306475.3292476203,1413.1126670910248,3,0
21,4101,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",84.0,La Serena,233270.0,36.00977408153641,9.277232391649163,4.471487252831318,358956.116163044,2889.3350268365634,4,0
22,4102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",63.0,Coquimbo,239467.0,26.308426630809258,6.108983701303311,4.938077679855818,232246.56171977049,2770.564557745897,4,0
23,4103,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Andacollo,11604.0,77.55946225439503,9.565667011375387,1.9538188277087036,208251.16204399508,2074.9665327978582,4,0
24,4104,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",3.0,La Higuera,4321.0,69.42837306179125,68.03980560055543,6.999732834624632,182289.5260486241,2737.6425855513307,4,0
25,4106,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",14.0,Vicuña,28706.0,48.77029192503309,36.93652894865185,3.018796278716537,229901.57729257643,1719.2918415769302,4,0
26,4201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",11.0,Illapel,32224.0,34.13604766633565,31.678252234359483,6.966016195406876,233801.2459843356,1808.0041178741476,4,0
27,4202,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Canela,9456.0,52.87648054145516,78.56387478849408,6.2371768567911365,201193.3032416906,1447.986790295948,4,0
